name,date,time,D,E,F,G,H
CE 10750,2018/08/30,10:37,917,917,917,917,75
CE 10750,2018/08/30,10:51,915.85,915.85,915.85,915.85,150
CE 10750,2018/08/30,11:30,916.75,916.75,916.75,916.75,225
CE 10750,2018/08/30,11:32,916.75,916.95,916.75,916.95,150
CE 10750,2018/08/30,11:34,914.75,914.75,914.75,914.75,75
CE 10750,2018/08/30,11:36,916.85,916.85,916.85,916.85,75
CE 10750,2018/08/30,11:38,917.55,917.55,917.55,917.55,75
CE 10750,2018/08/30,11:40,917.6,917.6,917.6,917.6,75
CE 10750,2018/08/30,11:46,929.6,929.6,928.9,928.9,150
CE 10750,2018/08/30,11:49,930.05,935.4,926.9,933.35,375
CE 10750,2018/08/30,11:51,920,920,920,920,75
CE 10750,2018/08/30,11:52,920,920,920,920,75
CE 10750,2018/08/30,11:53,920,920,920,920,75
CE 10750,2018/08/30,11:54,920,920,920,920,75
CE 10750,2018/08/30,14:13,900,900,900,900,75
CE 10750,2018/08/30,14:16,890,890,890,890,75
CE 10750,2018/08/30,14:48,885.7,885.7,885.7,885.7,75
CE 10750,2018/08/30,14:49,900,900,900,900,75
CE 10750,2018/08/30,15:00,904.5,904.5,904.5,904.5,75
CE 10750,2018/08/30,15:21,915.95,915.95,915.95,915.95,75
